This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    76153
Number of nonzeros in inequality constraint Jacobian.:      602
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      301
                     variables with only lower bounds:      100
                variables with lower and upper bounds:       51
                     variables with only upper bounds:        0
Total number of equality constraints.................:      253
Total number of inequality constraints...............:        2
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  6.3654566e+00 1.68e+05 2.75e+00  -4.1 2.33e-01    -  3.62e-01 1.00e+00h  1
 191  6.3368094e+00 1.83e+05 2.98e+00  -4.1 3.49e-01    -  2.90e-01 5.08e-01h  1
 192  6.3722662e+00 8.31e+04 2.42e+00  -3.7 2.11e-01    -  1.00e+00 1.00e+00h  1
 193  6.3724412e+00 1.15e+05 3.55e+00  -3.2 6.54e-01    -  1.00e+00 1.00e+00h  1
 194  6.3842868e+00 4.50e+04 2.26e+00  -3.3 2.97e-01    -  1.00e+00 1.00e+00h  1
 195  6.3999543e+00 1.00e+04 3.45e+00  -3.9 6.75e-02    -  9.78e-01 1.00e+00H  1
 196  6.3850701e+00 6.38e+04 2.39e+00  -4.0 5.15e-02    -  1.00e+00 1.00e+00h  1
 197  6.3750160e+00 8.57e+04 2.62e+00  -3.4 2.25e-01    -  1.00e+00 1.00e+00h  1
 198  6.3907676e+00 2.47e+04 1.79e+00  -3.5 1.34e-01    -  1.00e+00 1.00e+00h  1
 199  6.3833064e+00 5.44e+04 2.28e+00  -3.5 2.52e-01    -  7.88e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  6.3884409e+00 1.96e+04 2.79e+00  -3.5 2.88e-02    -  1.00e+00 1.00e+00h  1
 201  6.3783706e+00 6.70e+04 2.19e+00  -3.8 2.39e-01    -  1.00e+00 1.00e+00h  1
 202  6.3854560e+00 3.77e+04 1.75e+00  -4.5 4.89e-02    -  1.00e+00 1.00e+00h  1
 203  6.3887305e+00 1.53e+04 3.08e+00  -5.0 2.69e-02    -  1.00e+00 1.00e+00h  1
 204  6.3884749e+00 6.28e+03 1.61e+00  -4.4 1.56e-01    -  1.00e+00 1.00e+00h  1
 205  6.3691405e+00 1.51e+05 3.63e+00  -4.7 2.69e-01    -  1.00e+00 1.00e+00h  1
 206  6.3865301e+00 7.37e+04 3.10e+00  -4.8 1.58e-01    -  1.00e+00 1.00e+00h  1
 207  6.3401237e+00 1.89e+05 2.86e+00  -4.8 3.57e-01    -  2.48e-01 1.00e+00h  1
 208  6.3397541e+00 1.27e+05 2.22e+00  -4.8 1.35e+00    -  1.01e-01 6.38e-01h  1
 209  6.3441666e+00 8.87e+04 2.29e+00  -4.2 2.97e+00    -  1.00e+00 3.00e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  6.3650431e+00 1.73e+05 3.72e+00  -4.2 2.09e-01    -  1.00e+00 1.00e+00h  1
 211  6.3817598e+00 3.95e+04 2.07e+00  -4.3 2.64e-01    -  8.80e-01 8.06e-01h  1
 212  6.3520002e+00 2.99e+05 3.11e+00 -10.3 3.40e-01    -  4.07e-01 7.14e-01h  1
 213  6.3763662e+00 1.08e+05 3.24e+00  -4.6 9.97e-01    -  9.82e-02 9.03e-01h  1
 214  6.3737436e+00 9.77e+04 3.01e+00  -4.6 9.04e+00    -  5.98e-01 9.95e-02f  1
 215  6.3496790e+00 2.40e+05 3.34e+00  -4.6 2.60e-01    -  1.00e+00 1.00e+00h  1
 216  6.3733691e+00 9.18e+04 2.20e+00  -4.6 1.47e-01    -  1.00e+00 1.00e+00h  1
 217  6.3412759e+00 2.91e+05 3.06e+00  -3.7 5.37e-01    -  1.00e+00 5.10e-01h  1
 218  6.3834011e+00 5.79e+04 2.99e+00  -3.8 1.41e-01    -  1.00e+00 1.00e+00h  1
 219  6.3287459e+00 2.83e+05 2.57e+00  -3.8 3.21e-01    -  3.59e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220  6.3567383e+00 1.42e+05 2.95e+00  -3.8 2.71e-01    -  1.00e+00 5.00e-01h  2
 221  6.3012628e+00 4.20e+05 2.94e+00  -3.8 3.08e+00    -  6.86e-02 1.13e-01h  1
 222  6.3488135e+00 1.44e+05 3.25e+00  -3.8 3.03e-01    -  7.06e-01 1.00e+00h  1
 223  6.3584210e+00 1.11e+05 3.06e+00  -3.8 3.34e-01    -  6.63e-01 1.00e+00h  1
 224  6.3725312e+00 8.36e+04 3.95e+00  -3.0 4.11e-01    -  1.00e+00 1.00e+00h  1
 225  6.3857999e+00 4.98e+04 2.43e+00  -3.7 4.19e-02    -  1.00e+00 1.00e+00h  1
 226  6.3678955e+00 1.40e+05 3.75e+00  -3.8 1.59e-01    -  8.01e-01 1.00e+00h  1
 227  6.3754850e+00 7.66e+04 3.04e+00  -3.8 1.10e-01    -  1.00e+00 1.00e+00h  1
 228  6.3336203e+00 2.91e+05 3.46e+00  -3.5 4.76e-01    -  1.00e+00 9.21e-01h  1
 229  6.3833434e+00 4.61e+04 2.17e+00  -3.6 3.36e-01    -  6.26e-02 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230  6.3809825e+00 9.39e+04 3.05e+00  -4.2 1.27e-01    -  1.00e+00 1.00e+00h  1
 231  6.3858341e+00 3.76e+04 2.10e+00  -4.3 1.18e-01    -  9.99e-01 1.00e+00h  1
 232  6.3806900e+00 9.48e+04 3.19e+00  -3.9 2.08e-01    -  1.00e+00 1.00e+00h  1
 233  6.3902099e+00 1.66e+04 2.15e+00  -4.0 1.97e-01    -  1.00e+00 1.00e+00h  1
 234  6.3451773e+00 2.94e+05 2.95e+00  -4.0 6.42e-01    -  5.02e-01 4.26e-01h  1
 235  6.3681119e+00 1.47e+05 2.32e+00  -4.0 1.58e-01    -  2.29e-02 5.00e-01h  2
 236  6.3077579e+00 2.33e+05 2.87e+00  -4.0 6.26e+00    -  4.23e-02 1.03e-01h  1
 237  6.3661754e+00 8.82e+04 2.68e+00  -3.8 9.49e-01    -  1.00e+00 9.39e-01h  1
 238  6.3878221e+00 6.24e+04 3.26e+00  -4.1 3.01e-01    -  1.00e+00 1.00e+00h  1
 239  6.3820146e+00 8.49e+04 3.11e+00  -4.2 1.02e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240  6.3811388e+00 4.50e+04 2.69e+00  -4.2 6.58e-02    -  1.00e+00 1.00e+00h  1
 241  6.3281406e+00 2.96e+05 3.54e+00  -3.7 4.93e-01    -  1.00e+00 1.00e+00h  1
 242  6.3757602e+00 4.56e+04 3.18e+00  -3.8 7.80e-01    -  3.94e-01 8.82e-01h  1
 243  6.3455094e+00 1.33e+05 2.78e+00  -3.8 1.06e+00    -  1.30e-01 8.48e-01f  1
 244  6.3494576e+00 1.16e+05 2.61e+00  -3.8 6.84e+00    -  1.00e+00 1.31e-01h  1
 245  6.2545024e+00 3.98e+05 2.84e+00  -3.8 3.03e+00    -  6.00e-02 1.02e-01h  1
 246  6.3053988e+00 1.99e+05 2.52e+00  -3.8 1.64e-01    -  2.57e-02 5.00e-01h  2
 247  6.3449211e+00 2.21e+05 2.23e+00  -3.5 2.87e-01    -  1.00e+00 1.00e+00h  1
 248  6.3674631e+00 1.66e+05 3.14e+00  -3.5 1.70e-01    -  9.73e-01 1.00e+00h  1
 249  6.3701776e+00 1.04e+05 2.53e+00  -3.5 1.90e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250  6.3892380e+00 1.48e+04 2.37e+00  -4.3 1.11e-01    -  1.00e+00 1.00e+00h  1
 251  6.3757668e+00 8.26e+04 2.49e+00  -4.4 9.77e-02    -  7.59e-01 1.00e+00h  1
 252  6.3828873e+00 2.95e+04 2.03e+00  -4.4 5.96e-02    -  1.00e+00 1.00e+00h  1
 253  6.3856735e+00 5.95e+04 3.87e+00  -5.0 5.37e-02    -  1.00e+00 1.00e+00h  1
 254  6.3864744e+00 2.85e+04 1.80e+00  -5.1 1.68e-01    -  1.00e+00 5.22e-01h  1
 255  6.3869273e+00 1.09e+04 2.45e+00  -5.9 3.32e-02    -  1.00e+00 1.00e+00h  1
 256  6.3706038e+00 2.38e+05 3.19e+00  -3.9 9.07e-01    -  1.90e-01 9.79e-01h  1
 257  6.3828036e+00 7.01e+04 3.00e+00  -4.7 8.41e-01    -  7.55e-02 1.00e+00h  1
 258  6.3509896e+00 1.67e+05 2.91e+00  -5.3 2.24e+00    -  6.28e-02 3.75e-01h  1
 259  6.3609172e+00 9.54e+04 2.01e+00  -4.8 2.08e+00    -  1.00e+00 4.28e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260  6.3869145e+00 6.53e+04 5.25e+00  -5.1 4.28e-01    -  6.39e-01 1.00e+00H  1
 261  6.3855979e+00 3.74e+04 3.54e+00  -4.7 9.30e-02    -  8.88e-01 1.00e+00h  1
 262  6.3508941e+00 2.23e+05 3.92e+00  -4.7 3.66e-01    -  4.95e-01 1.00e+00h  1
 263  6.3536951e+00 7.31e+04 3.42e+00  -4.7 9.82e-01    -  1.00e+00 7.27e-01h  1
 264  6.3708402e+00 7.22e+04 3.05e+00  -4.7 7.11e-01    -  2.22e-01 1.00e+00h  1
 265  6.3694170e+00 9.66e+04 3.20e+00  -5.1 4.06e-01    -  1.00e+00 1.00e+00h  1
 266  6.3729456e+00 5.63e+04 2.77e+00  -5.2 7.31e-01    -  1.00e+00 4.18e-01h  1
 267  6.2445317e+00 3.21e+05 2.35e+00  -5.2 4.19e-01    -  8.70e-02 7.34e-01h  1
 268  6.2437480e+00 2.58e+05 2.25e+00  -5.2 4.56e+00    -  2.38e-02 1.96e-01h  1
 269  6.0388397e+00 5.47e+05 2.59e+00  -5.2 2.29e+00    -  3.40e-02 1.75e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270  6.1711671e+00 3.41e+05 2.77e+00  -4.8 5.71e-01    -  6.38e-01 7.43e-01h  1
 271  6.3040297e+00 3.03e+05 2.41e+00  -3.6 4.79e-01    -  1.00e+00 9.60e-01h  1
 272  6.3217792e+00 1.35e+05 3.04e+00  -3.5 7.56e-01    -  6.40e-01 5.54e-01h  1
 273  6.4279958e+00 1.19e+05 4.23e+00  -3.5 3.45e-01    -  4.01e-01 1.00e+00H  1
 274  6.4017100e+00 7.10e+04 2.97e+00  -3.5 1.36e-01    -  7.21e-01 1.00e+00h  1
 275  6.2964857e+00 2.94e+05 3.00e+00  -3.5 1.10e+00    -  1.21e-01 3.09e-01h  1
 276  6.3897618e+00 1.90e+05 3.15e+00  -3.5 2.07e-01    -  5.96e-02 1.00e+00h  1
 277  6.2885688e+00 3.09e+05 2.87e+00  -3.5 5.20e-01    -  4.48e-01 8.10e-01h  1
 278  6.3629409e+00 1.37e+05 3.06e+00  -3.5 3.70e-01    -  4.83e-02 1.00e+00h  1
 279  6.3332238e+00 1.31e+05 2.02e+00  -3.5 4.63e-01    -  5.92e-01 3.37e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280  6.3821048e+00 5.29e+04 3.51e+00  -3.7 1.19e-01    -  1.00e+00 1.00e+00h  1
 281  6.3728912e+00 8.57e+04 2.56e+00  -3.8 1.05e-01    -  9.80e-01 1.00e+00h  1
 282  6.3793427e+00 4.14e+04 1.81e+00  -3.8 7.24e-02    -  1.00e+00 1.00e+00h  1
 283  6.3888771e+00 1.37e+04 2.14e+00  -4.5 1.17e-01    -  1.00e+00 1.00e+00h  1
 284  6.3770390e+00 1.44e+05 2.90e+00  -4.6 1.26e-01    -  6.97e-01 1.00e+00h  1
 285  6.3801631e+00 8.98e+04 2.66e+00  -4.6 5.63e-01    -  1.00e+00 3.76e-01h  1
 286  6.2685155e+00 3.77e+05 3.09e+00  -4.6 4.84e-01    -  1.73e-02 6.97e-01h  1
 287  6.3369814e+00 2.99e+05 3.09e+00  -4.6 4.26e-01    -  4.82e-01 1.00e+00h  1
 288  6.3360051e+00 2.20e+05 3.07e+00  -4.6 1.38e+00    -  5.27e-01 2.66e-01h  1
 289  6.2219795e+00 4.14e+05 4.38e+00  -4.6 3.89e-01    -  4.85e-02 9.06e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290  6.3151032e+00 2.18e+05 2.76e+00  -4.6 3.45e-01    -  4.02e-01 1.00e+00h  1
 291  6.3148941e+00 1.66e+05 2.27e+00  -4.6 6.13e-01    -  6.72e-01 2.40e-01h  1
 292  6.2013091e+00 3.46e+05 3.17e+00  -3.1 2.15e+00    -  6.45e-02 4.11e-01f  1
 293  6.2980721e+00 1.58e+05 3.75e+00  -4.2 1.63e+00    -  1.92e-02 5.44e-01h  1
 294  6.2716297e+00 3.55e+05 3.04e+00  -5.6 4.89e-01    -  1.43e-01 6.66e-01h  1
 295  6.3006661e+00 2.47e+05 2.48e+00  -4.2 1.07e+00    -  6.02e-02 3.05e-01h  1
 296  6.1909025e+00 4.31e+05 2.94e+00  -3.4 2.23e+00    -  1.84e-01 2.03e-01f  1
 297  6.3328162e+00 1.18e+05 2.87e+00  -3.6 4.45e-01    -  1.00e+00 1.00e+00h  1
 298  6.3748981e+00 1.04e+05 2.66e+00  -3.9 1.77e-01    -  7.89e-01 1.00e+00h  1
 299  6.3677881e+00 1.24e+05 2.83e+00  -3.9 9.27e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300  6.3787818e+00 9.84e+04 3.17e+00  -3.9 1.41e-01    -  6.69e-01 1.00e+00h  1
 301  6.3776767e+00 4.62e+04 2.73e+00  -3.9 4.38e-01    -  1.00e+00 5.31e-01h  1
 302  6.3710144e+00 8.55e+04 3.62e+00  -4.5 7.78e-02    -  8.21e-01 1.00e+00h  1
 303  6.3789318e+00 3.53e+04 2.71e+00  -4.4 9.45e-02    -  1.00e+00 5.87e-01h  1
 304  6.3635698e+00 1.49e+05 2.88e+00 -10.4 1.16e-01    -  5.58e-01 1.00e+00h  1
 305  6.3785765e+00 4.99e+04 2.70e+00  -4.9 4.83e-01    -  2.16e-01 1.00e+00h  1
 306  6.3835171e+00 4.87e+04 3.47e+00  -5.1 3.67e-01    -  1.00e+00 1.00e+00h  1
 307  6.3810281e+00 3.08e+04 1.90e+00  -5.2 1.28e-01    -  1.00e+00 9.09e-01h  1
 308  6.3883697e+00 3.10e+03 2.07e+00  -6.3 1.67e-02    -  1.00e+00 1.00e+00h  1
 309  6.3854759e+00 2.25e+04 2.30e+00 -11.0 2.79e-02    -  6.17e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310  6.3862892e+00 7.18e+03 2.16e+00  -6.1 1.72e-02    -  1.00e+00 1.00e+00h  1
 311  6.3856277e+00 2.05e+04 3.46e+00  -5.3 1.75e-02    -  1.00e+00 1.00e+00h  1
 312  6.3870535e+00 4.20e+03 1.57e+00  -6.6 9.79e-03    -  1.00e+00 1.00e+00h  1
 313  6.3824556e+00 2.71e+04 3.52e+00  -5.8 4.09e-02    -  1.00e+00 1.00e+00h  1
 314  6.3849016e+00 9.34e+03 2.31e+00  -5.9 2.49e-02    -  1.00e+00 1.00e+00h  1
 315  6.3688890e+00 1.22e+05 3.99e+00  -3.9 1.66e-01    -  5.14e-01 1.00e+00h  1
 316  6.3850459e+00 3.51e+04 2.79e+00  -4.3 1.22e-01    -  1.00e+00 1.00e+00h  1
 317  6.3742583e+00 6.73e+04 2.98e+00  -4.3 1.74e-01    -  6.88e-01 1.00e+00h  1
 318  6.3775639e+00 3.76e+04 2.29e+00  -4.3 4.98e-01    -  1.00e+00 4.42e-01h  1
 319  6.3743313e+00 8.49e+04 3.01e+00  -4.9 7.82e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320  6.3847126e+00 3.24e+04 2.21e+00  -4.6 3.01e-02    -  1.00e+00 1.00e+00h  1
 321  6.3738769e+00 7.40e+04 3.75e+00 -10.6 9.17e-02    -  4.38e-01 1.00e+00h  1
 322  6.3841623e+00 2.25e+04 1.68e+00  -5.0 6.30e-02    -  1.00e+00 1.00e+00h  1
 323  6.3700478e+00 1.09e+05 4.11e+00 -11.0 7.98e-02    -  1.97e-01 1.00e+00h  1
 324  6.3721413e+00 8.53e+04 3.83e+00  -5.2 2.13e-01    -  1.00e+00 2.19e-01h  1
 325  6.3237656e+00 1.86e+05 3.81e+00  -5.2 1.89e-01    -  2.00e-02 1.00e+00h  1
 326  6.3212472e+00 3.03e+05 2.65e+00  -5.2 5.99e-01    -  2.01e-01 9.33e-01h  1
 327  6.3361944e+00 1.85e+05 2.05e+00  -5.2 1.53e+00    -  3.60e-01 3.92e-01h  1
 328  6.3532989e+00 1.57e+05 2.71e+00  -5.2 2.38e-01    -  2.45e-01 1.00e+00h  1
 329  6.3560949e+00 1.33e+05 2.55e+00  -5.2 7.60e-01    -  1.00e+00 1.54e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330  6.3651104e+00 1.13e+05 1.87e+00  -5.3 1.35e-01    -  1.00e+00 1.00e+00h  1
 331  6.3734463e+00 6.95e+04 3.54e+00  -4.4 8.75e-02    -  1.00e+00 1.00e+00h  1
 332  6.3808523e+00 5.84e+04 3.38e+00  -5.0 4.59e-02    -  1.00e+00 1.00e+00h  1
 333  6.3840935e+00 1.67e+04 3.11e+00  -5.1 3.72e-02    -  1.00e+00 1.00e+00h  1
 334  6.3842176e+00 1.72e+04 2.67e+00  -6.1 1.85e-02    -  1.00e+00 1.00e+00h  1
 335  6.3848885e+00 1.01e+04 3.11e+00  -6.2 1.84e-02    -  1.00e+00 1.00e+00h  1
 336  6.3847001e+00 1.11e+04 1.78e+00  -7.4 1.11e-02    -  9.99e-01 1.00e+00h  1
 337  6.3856866e+00 6.45e+03 3.65e+00  -5.8 8.09e-03    -  1.00e+00 1.00e+00h  1
 338  6.3843449e+00 1.21e+04 1.71e+00 -11.0 1.16e-02    -  4.18e-01 1.00e+00h  1
 339  6.3849416e+00 5.22e+03 1.33e+00  -5.7 1.29e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340  6.3847026e+00 5.09e+03 4.17e+00  -5.2 1.29e-02    -  1.00e+00 1.00e+00h  1
 341  6.3848223e+00 2.47e+03 1.93e+00  -6.7 6.50e-03    -  1.00e+00 1.00e+00h  1
 342  6.3836913e+00 1.07e+04 3.24e+00  -8.2 1.86e-02    -  1.00e+00 1.00e+00h  1
 343  6.3835096e+00 3.73e+03 2.98e+00  -6.7 1.25e-02    -  1.00e+00 1.00e+00h  1
 344  6.3838852e+00 3.97e+03 2.19e+00  -8.2 7.46e-03    -  1.00e+00 1.00e+00h  1
 345  6.3838054e+00 4.17e+03 2.68e+00  -6.7 5.57e-03    -  1.00e+00 1.00e+00h  1
 346  6.3840826e+00 3.95e+03 2.59e+00  -8.3 6.75e-03    -  1.00e+00 1.00e+00h  1
 347  6.3833876e+00 5.67e+03 1.86e+00  -8.4 6.56e-03    -  4.51e-01 1.00e+00h  1
 348  6.3835823e+00 4.20e+03 1.96e+00  -7.4 7.66e-03    -  1.00e+00 1.00e+00h  1
 349  6.3841471e+00 1.73e+03 3.57e+00  -8.9 4.41e-03    -  1.00e+00 5.89e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350  6.3840926e+00 7.14e+02 1.66e+00 -10.5 1.63e-03    -  1.00e+00 1.00e+00h  1
 351  6.3788245e+00 3.48e+04 5.83e+00  -8.3 3.47e-02    -  1.35e-01 1.00e+00h  1
 352  6.3834154e+00 1.35e+04 2.64e+00  -8.1 4.11e-02    -  1.00e+00 1.00e+00h  1
 353  6.3798288e+00 3.23e+04 2.86e+00  -6.1 2.87e-02    -  2.17e-01 1.00e+00h  1
 354  6.3841532e+00 4.63e+03 2.19e+00  -5.0 1.24e-02    -  1.00e+00 1.00e+00h  1
 355  6.3812079e+00 3.17e+04 2.58e+00  -5.1 4.48e-02    -  1.00e+00 1.00e+00h  1
 356  6.3832611e+00 6.92e+03 2.20e+00  -5.1 5.55e-02    -  1.00e+00 1.00e+00h  1
 357  6.3821706e+00 2.17e+04 3.11e+00  -3.6 1.97e-01    -  1.00e+00 1.00e+00h  1
 358  6.3839796e+00 3.48e+03 2.20e+00  -4.2 2.00e-01    -  1.00e+00 1.00e+00h  1
 359  6.3773567e+00 4.92e+04 1.94e+00  -4.3 2.61e-01    -  4.28e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360  6.3823906e+00 1.92e+04 3.24e+00  -3.7 2.85e-01    -  1.00e+00 1.00e+00h  1
 361  6.3784796e+00 6.62e+04 2.83e+00  -3.8 3.35e-01    -  2.75e-01 1.00e+00h  1
 362  6.3807944e+00 2.13e+04 2.79e+00  -3.8 3.37e-01    -  1.00e+00 1.00e+00h  1
 363  6.3827950e+00 1.28e+04 2.87e+00  -4.9 3.35e-02    -  9.95e-01 3.97e-01H  1
 364  6.3785019e+00 9.78e+04 5.83e+00  -2.9 9.88e-01    -  9.74e-01 9.01e-01f  1
 365  6.3873480e+00 5.84e+03 2.75e+00  -3.0 6.86e-01    -  1.00e+00 1.00e+00h  1
 366  6.3511368e+00 2.44e+05 3.17e+00  -3.0 3.16e-01    -  6.41e-01 1.00e+00h  1
 367  6.3517196e+00 1.22e+05 3.11e+00  -3.0 3.32e-01    -  7.40e-01 5.00e-01h  2
 368  6.3327286e+00 2.54e+05 3.07e+00  -3.1 1.95e-01    -  1.00e+00 1.00e+00h  1
 369  6.3622374e+00 7.19e+04 2.66e+00  -3.2 2.09e-01    -  4.65e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370  6.3565948e+00 9.69e+04 3.66e+00  -3.3 1.16e-01    -  1.00e+00 1.00e+00h  1
 371  6.3701930e+00 7.05e+04 2.48e+00  -3.4 3.55e-01    -  7.52e-01 1.00e+00h  1
 372  6.3563108e+00 1.49e+05 3.98e+00  -3.7 1.66e-01    -  1.00e+00 1.00e+00h  1
 373  6.3693254e+00 6.36e+04 2.50e+00  -3.8 6.47e-01    -  8.41e-01 5.72e-01h  1
 374  6.3462676e+00 1.59e+05 2.08e+00  -3.8 2.81e-01    -  1.33e-01 1.00e+00h  1
 375  6.3675263e+00 1.04e+05 1.94e+00  -3.8 1.97e-01    -  1.00e+00 1.00e+00h  1
 376  6.3771831e+00 7.01e+04 3.22e+00  -4.3 6.58e-02    -  1.00e+00 1.00e+00h  1
 377  6.3777192e+00 8.24e+04 2.21e+00  -4.4 8.92e-02    -  1.00e+00 1.00e+00h  1
 378  6.3810127e+00 3.55e+04 3.80e+00  -4.4 4.08e-02    -  9.33e-01 1.00e+00h  1
 379  6.3686434e+00 1.28e+05 3.29e+00  -4.4 6.46e-01    -  1.83e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380  6.3768318e+00 3.20e+04 2.25e+00  -4.4 8.23e-01    -  8.43e-01 8.06e-01h  1
 381  6.3683774e+00 9.83e+04 2.92e+00 -10.4 1.09e-01    -  1.23e-01 1.00e+00h  1
 382  6.3674718e+00 7.88e+04 2.92e+00  -4.5 4.54e+00    -  2.55e-02 1.98e-01h  1
 383  6.3698382e+00 6.43e+04 2.64e+00  -5.4 4.83e+00    -  1.00e+00 1.85e-01h  1
 384  6.3205115e+00 3.05e+05 3.49e+00  -4.9 4.65e-01    -  1.00e+00 6.93e-01h  1
 385  6.3729536e+00 1.43e+05 3.44e+00  -5.0 2.22e-01    -  6.16e-01 1.00e+00h  1
 386  6.2981298e+00 3.36e+05 2.89e+00  -5.0 8.90e-01    -  2.20e-01 3.61e-01h  1
 387  6.3693987e+00 1.03e+05 2.77e+00  -5.0 1.67e-01    -  4.87e-01 1.00e+00h  1
 388  6.2824046e+00 2.94e+05 2.81e+00  -5.0 4.82e-01    -  2.53e-01 5.88e-01h  1
 389  6.2906457e+00 2.52e+05 3.42e+00  -5.0 4.82e-01    -  1.00e+00 1.43e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390  6.2034521e+00 3.45e+05 4.86e+00  -5.0 6.23e-01    -  2.14e-01 5.27e-01h  1
 391  6.2515304e+00 3.21e+05 2.57e+00  -4.2 7.78e-01    -  1.67e-01 6.28e-01h  1
 392  6.2776716e+00 1.59e+05 3.05e+00  -4.8 9.78e-01    -  2.84e-01 5.06e-01h  1
 393  6.2243585e+00 2.43e+05 2.20e+00  -3.5 1.15e+00    -  2.17e-01 2.35e-01f  1
 394  6.3330857e+00 2.47e+05 3.59e+00  -3.4 2.73e-01    -  1.00e+00 1.00e+00h  1
 395  6.3257582e+00 3.22e+05 3.46e+00  -3.3 3.24e-01    -  6.69e-01 1.00e+00h  1
 396  6.3817598e+00 4.38e+04 2.15e+00  -3.3 3.42e-01    -  1.00e+00 1.00e+00h  1
 397  6.4344510e+00 2.09e+04 4.37e+00  -3.3 1.99e-01    -  7.24e-01 9.47e-01H  1
 398  6.3823542e+00 5.28e+04 2.77e+00  -3.3 1.95e-01    -  1.00e+00 1.00e+00h  1
 399  6.4250528e+00 4.70e+03 5.43e+00  -3.3 2.48e-01    -  4.74e-01 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400  6.4024499e+00 1.19e+04 3.06e+00  -3.3 2.51e-01    -  5.22e-01 1.00e+00H  1
 401  6.3190976e+00 2.94e+05 3.00e+00  -3.3 3.67e-01    -  2.68e-01 8.34e-01h  1
 402  6.3472397e+00 1.40e+05 2.69e+00  -3.3 3.20e-01    -  1.00e+00 1.00e+00h  1
 403  6.3702408e+00 8.85e+04 3.00e+00  -3.3 1.03e-01    -  1.00e+00 1.00e+00h  1
 404  6.3597546e+00 1.86e+05 2.88e+00  -3.3 3.04e-01    -  1.00e+00 1.00e+00h  1
 405  6.3730983e+00 6.65e+04 3.81e+00  -3.3 3.62e-01    -  5.14e-01 1.00e+00h  1
 406  6.3936568e+00 4.00e+04 3.48e+00  -3.3 2.63e-01    -  1.00e+00 1.00e+00H  1
 407  6.3840717e+00 4.78e+04 3.16e+00  -3.3 1.71e-01    -  1.00e+00 1.00e+00h  1
 408  6.3610636e+00 1.34e+05 3.02e+00  -3.3 4.74e-01    -  4.07e-01 2.95e-01h  2
 409  6.3741050e+00 4.39e+04 3.21e+00  -3.3 2.43e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
