This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    76153
Number of nonzeros in inequality constraint Jacobian.:      602
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      301
                     variables with only lower bounds:      100
                variables with lower and upper bounds:       51
                     variables with only upper bounds:        0
Total number of equality constraints.................:      253
Total number of inequality constraints...............:        2
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  6.3834735e+00 9.83e+04 1.65e+00  -2.4 2.26e-01    -  8.45e-01 1.00e+00h  1
  48  6.4308669e+00 2.32e+04 2.82e+00  -2.6 2.92e-01    -  9.46e-01 1.00e+00H  1
  49  6.3988160e+00 2.70e+04 1.84e+00  -2.7 1.21e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  6.3831434e+00 1.22e+05 3.41e+00  -3.0 1.34e-01    -  1.00e+00 1.00e+00h  1
  51  6.4009780e+00 3.74e+04 2.51e+00  -3.3 6.48e-02    -  1.00e+00 1.00e+00h  1
  52  6.3650029e+00 1.16e+05 3.17e+00  -3.4 9.74e-01    -  4.60e-01 4.02e-01h  1
  53  6.3926885e+00 7.48e+04 1.98e+00  -3.7 7.80e-02    -  1.00e+00 1.00e+00h  1
  54  6.3561666e+00 2.28e+05 4.73e+00  -3.5 7.05e-01    -  1.00e+00 1.00e+00h  1
  55  6.3971924e+00 5.11e+04 3.37e+00  -3.7 1.21e-01    -  1.00e+00 1.00e+00h  1
  56  6.3285432e+00 2.94e+05 2.39e+00  -3.8 4.99e-01    -  3.33e-01 6.64e-01h  1
  57  6.3811477e+00 1.96e+05 2.29e+00  -3.5 2.48e-01    -  1.00e+00 1.00e+00h  1
  58  6.3652668e+00 1.56e+05 2.95e+00  -2.9 5.16e-01    -  9.19e-01 9.85e-01h  1
  59  6.3876671e+00 7.45e+04 3.70e+00  -3.3 1.79e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  6.3951406e+00 3.77e+04 3.17e+00  -4.0 1.34e-01    -  1.00e+00 1.00e+00h  1
  61  6.4037757e+00 1.09e+04 3.20e+00  -2.9 6.04e-01    -  1.00e+00 1.00e+00H  1
  62  6.3987039e+00 2.57e+04 1.52e+00  -3.6 8.43e-02    -  1.00e+00 1.00e+00h  1
  63  6.3633317e+00 3.39e+05 3.46e+00  -3.3 1.33e+00    -  1.00e+00 5.94e-01h  1
  64  6.4054834e+00 9.31e+04 2.34e+00  -3.4 2.49e-01    -  1.07e-01 1.00e+00h  1
  65  6.3481047e+00 2.44e+05 3.34e+00  -3.4 3.58e-01    -  7.81e-01 1.00e+00h  1
  66  6.3710492e+00 8.74e+04 1.69e+00  -3.1 2.71e-01    -  1.00e+00 1.00e+00h  1
  67  6.3944223e+00 4.14e+04 2.52e+00  -3.6 1.28e-01    -  1.00e+00 1.00e+00h  1
  68  6.3922525e+00 3.86e+04 3.03e+00  -4.2 4.78e-02    -  1.00e+00 1.00e+00h  1
  69  6.3918745e+00 2.62e+04 2.24e+00  -4.6 1.70e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  6.3952892e+00 1.71e+04 2.80e+00  -5.6 4.52e-02    -  1.00e+00 1.00e+00h  1
  71  6.3939356e+00 3.01e+04 3.02e+00  -4.8 3.55e-01    -  1.00e+00 1.00e+00h  1
  72  6.3933037e+00 2.43e+04 3.22e+00  -5.0 4.07e-01    -  1.00e+00 1.00e+00h  1
  73  6.3908881e+00 3.28e+04 2.22e+00  -5.9 1.32e-01    -  1.00e+00 1.00e+00h  1
  74  6.3964865e+00 2.01e+03 2.30e+00  -4.9 2.64e-02    -  1.00e+00 1.00e+00h  1
  75  6.3620817e+00 2.91e+05 2.53e+00 -10.9 7.42e-01    -  1.77e-01 4.26e-01h  1
  76  6.3685947e+00 2.37e+05 2.43e+00  -5.1 2.11e-01    -  7.58e-02 1.84e-01h  1
  77  6.2334587e+00 6.56e+05 2.93e+00  -5.1 1.97e+03    -  3.70e-04 3.37e-04f  1
  78  6.2473974e+00 5.04e+05 2.93e+00  -4.5 1.01e+00    -  3.99e-01 2.31e-01h  1
  79  6.3046264e+00 3.29e+05 3.27e+00  -3.9 2.64e-01    -  5.81e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  6.3720352e+00 1.06e+05 1.73e+00  -3.6 3.76e-01    -  1.00e+00 1.00e+00h  1
  81  6.3507531e+00 2.91e+05 2.62e+00  -3.1 1.19e+00    -  5.55e-01 5.55e-01h  1
  82  6.3795413e+00 1.46e+05 3.16e+00  -3.0 4.47e-01    -  1.00e+00 1.00e+00h  1
  83  6.3581085e+00 9.98e+04 3.17e+00  -2.3 2.07e+00    -  9.91e-01 3.19e-01h  1
  84  6.3863349e+00 7.91e+04 2.42e+00  -2.6 1.68e-01    -  1.00e+00 1.00e+00h  1
  85  6.3908620e+00 5.38e+04 3.51e+00  -3.1 1.04e-01    -  1.00e+00 1.00e+00h  1
